ONTOLOGY_NAME,FORGETTING_METHOD,FORGETTING_STRATEGY,FORMULA_ID,FORMULA_SIZE,JUSTIFICATION_SIZE,STRATEGY_STEP_COUNT,STRATEGY_STEPS_DELTA,JUSTIFICATION_INCREASE_AMOUNT,SUCCESSFUL_EXPLANATION
pizza,AlchTBoxForgetter,1,0,2,4,4,1,1,true
pizza,AlchTBoxForgetter,1,0,2,5,5,1,1,true
pizza,AlchTBoxForgetter,1,1,2,8,9,0,0,false
pizza,AlchTBoxForgetter,1,1,2,8,9,0,0,false
pizza,AlchTBoxForgetter,1,1,2,6,6,0,0,true
pizza,AlchTBoxForgetter,1,1,2,6,7,1,0,true
pizza,AlchTBoxForgetter,1,1,2,4,4,0,0,true
pizza,AlchTBoxForgetter,1,1,2,4,3,0,0,true
pizza,AlchTBoxForgetter,1,1,2,6,6,0,0,false
pizza,AlchTBoxForgetter,1,1,2,6,6,0,0,false
pizza,AlchTBoxForgetter,1,1,2,4,4,1,0,true
pizza,AlchTBoxForgetter,1,1,2,4,4,1,0,true
pizza,AlchTBoxForgetter,1,1,2,4,4,1,0,true
pizza,AlchTBoxForgetter,1,1,2,4,4,0,0,true
pizza,AlchTBoxForgetter,1,1,2,6,7,1,0,true
pizza,AlchTBoxForgetter,1,1,2,6,7,0,0,true
pizza,AlchTBoxForgetter,1,1,2,6,6,0,0,false
pizza,AlchTBoxForgetter,1,1,2,8,8,0,0,false
pizza,AlchTBoxForgetter,1,1,2,8,9,0,0,false
pizza,AlchTBoxForgetter,1,1,2,4,4,1,0,true
pizza,AlchTBoxForgetter,1,2,2,5,5,0,0,false
pizza,AlchTBoxForgetter,1,2,2,7,8,0,0,false
pizza,AlchTBoxForgetter,1,2,2,7,8,0,0,false
pizza,AlchTBoxForgetter,1,2,2,5,6,0,0,true
pizza,AlchTBoxForgetter,1,2,2,3,3,1,0,true
pizza,AlchTBoxForgetter,1,2,2,5,6,1,0,true
pizza,AlchTBoxForgetter,1,2,2,5,5,0,0,true
pizza,AlchTBoxForgetter,1,2,2,7,8,0,0,false
pizza,AlchTBoxForgetter,1,2,2,3,3,1,0,true
pizza,AlchTBoxForgetter,1,2,2,3,2,0,0,true
pizza,AlchTBoxForgetter,1,2,2,3,3,0,0,true
pizza,AlchTBoxForgetter,1,2,2,3,3,1,0,true
pizza,AlchTBoxForgetter,1,2,2,3,3,0,0,true
pizza,AlchTBoxForgetter,1,2,2,5,5,0,0,false
pizza,AlchTBoxForgetter,1,2,2,5,5,0,0,false
pizza,AlchTBoxForgetter,1,2,2,3,3,1,0,true
pizza,AlchTBoxForgetter,1,2,2,7,7,0,0,false
pizza,AlchTBoxForgetter,1,2,2,5,6,1,0,true
pizza,AlchTBoxForgetter,1,3,2,9,14,0,19,false
pizza,AlchTBoxForgetter,1,3,2,13,18,0,25,false
pizza,AlchTBoxForgetter,1,3,2,10,15,0,25,false
pizza,AlchTBoxForgetter,1,3,2,14,19,0,25,false
pizza,AlchTBoxForgetter,1,4,2,5,5,0,1,true
pizza,AlchTBoxForgetter,1,4,2,4,4,0,1,true
pizza,AlchTBoxForgetter,1,5,2,1,0,0,0,true
pizza,AlchTBoxForgetter,1,6,2,5,6,0,4,true
pizza,AlchTBoxForgetter,1,6,2,6,7,0,4,true
pizza,AlchTBoxForgetter,1,7,2,2,2,1,0,true
pizza,AlchTBoxForgetter,1,7,2,2,1,0,0,true
pizza,AlchTBoxForgetter,1,7,2,2,2,1,0,true
pizza,AlchTBoxForgetter,1,7,2,2,2,1,0,true
pizza,AlchTBoxForgetter,1,8,2,4,4,1,1,true
pizza,AlchTBoxForgetter,1,8,2,5,5,1,1,true
pizza,AlchTBoxForgetter,1,9,2,6,7,0,0,true
pizza,AlchTBoxForgetter,1,9,2,6,7,0,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,0,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,1,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,1,0,true
pizza,AlchTBoxForgetter,1,9,2,6,6,0,0,false
pizza,AlchTBoxForgetter,1,9,2,6,6,0,0,true
pizza,AlchTBoxForgetter,1,9,2,8,8,0,0,false
pizza,AlchTBoxForgetter,1,9,2,4,4,0,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,0,0,true
pizza,AlchTBoxForgetter,1,9,2,6,7,0,0,true
pizza,AlchTBoxForgetter,1,9,2,8,9,0,0,false
pizza,AlchTBoxForgetter,1,9,2,8,9,0,0,false
pizza,AlchTBoxForgetter,1,9,2,8,9,0,0,false
pizza,AlchTBoxForgetter,1,9,2,6,7,1,0,true
pizza,AlchTBoxForgetter,1,9,2,8,9,0,0,false
pizza,AlchTBoxForgetter,1,9,2,6,6,0,0,false
pizza,AlchTBoxForgetter,1,9,2,6,6,0,0,false
pizza,AlchTBoxForgetter,1,9,2,8,9,0,0,false
pizza,AlchTBoxForgetter,1,9,2,6,7,1,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,1,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,1,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,0,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,0,0,true
pizza,AlchTBoxForgetter,1,9,2,4,4,0,0,true
pizza,AlchTBoxForgetter,1,9,2,4,3,0,0,true
pizza,AlchTBoxForgetter,1,9,2,6,6,0,0,false
pizza,AlchTBoxForgetter,1,9,2,6,6,0,0,false
pizza,AlchTBoxForgetter,1,10,2,3,3,0,0,true
pizza,AlchTBoxForgetter,1,10,2,5,6,0,0,true
pizza,AlchTBoxForgetter,1,10,2,7,8,0,0,false
pizza,AlchTBoxForgetter,1,10,2,3,3,0,0,true
pizza,AlchTBoxForgetter,1,10,2,3,3,1,0,true
pizza,AlchTBoxForgetter,1,10,2,3,3,0,0,true
pizza,AlchTBoxForgetter,1,10,2,3,3,0,0,true
pizza,AlchTBoxForgetter,1,10,2,3,3,1,0,true
pizza,AlchTBoxForgetter,1,10,2,5,5,0,0,false
pizza,AlchTBoxForgetter,1,10,2,5,5,0,0,true
pizza,AlchTBoxForgetter,1,10,2,7,7,0,0,false
pizza,AlchTBoxForgetter,1,10,2,5,5,0,0,false
pizza,AlchTBoxForgetter,1,10,2,3,2,0,0,true
pizza,AlchTBoxForgetter,1,10,2,3,3,0,0,true
pizza,AlchTBoxForgetter,1,10,2,3,3,1,0,true
pizza,AlchTBoxForgetter,1,10,2,3,3,1,0,true
pizza,AlchTBoxForgetter,1,10,2,5,5,0,0,false
pizza,AlchTBoxForgetter,1,10,2,3,3,0,0,true
pizza,AlchTBoxForgetter,1,10,2,7,8,0,0,false
pizza,AlchTBoxForgetter,1,10,2,5,6,1,0,true
pizza,AlchTBoxForgetter,1,10,2,5,5,0,0,false
pizza,AlchTBoxForgetter,1,10,2,5,5,0,0,false
pizza,AlchTBoxForgetter,1,10,2,5,6,1,0,true
pizza,AlchTBoxForgetter,1,10,2,7,8,0,0,false
pizza,AlchTBoxForgetter,1,10,2,5,6,0,0,true
pizza,AlchTBoxForgetter,1,10,2,7,8,0,0,false
pizza,AlchTBoxForgetter,1,10,2,7,8,0,0,false
pizza,AlchTBoxForgetter,1,10,2,5,6,0,0,true
pizza,AlchTBoxForgetter,1,11,2,14,30,0,102,false
pizza,AlchTBoxForgetter,1,11,2,15,22,0,30,false
pizza,AlchTBoxForgetter,1,11,2,10,21,0,80,false
pizza,AlchTBoxForgetter,1,11,2,13,18,0,25,false
pizza,AlchTBoxForgetter,1,11,2,16,21,0,25,false
pizza,AlchTBoxForgetter,1,11,2,15,31,0,102,false
pizza,AlchTBoxForgetter,1,11,2,12,13,0,4,false
pizza,AlchTBoxForgetter,1,11,2,15,22,0,30,false
pizza,AlchTBoxForgetter,1,11,2,14,19,0,25,false
pizza,AlchTBoxForgetter,1,11,2,16,32,0,102,false
pizza,AlchTBoxForgetter,1,11,2,12,27,0,96,false
pizza,AlchTBoxForgetter,1,11,2,16,23,0,30,false
pizza,AlchTBoxForgetter,1,11,2,10,15,0,25,false
pizza,AlchTBoxForgetter,1,11,2,11,22,0,80,false
pizza,AlchTBoxForgetter,1,11,2,15,22,0,30,false
pizza,AlchTBoxForgetter,1,11,2,13,25,0,80,false
pizza,AlchTBoxForgetter,1,11,2,13,18,0,25,false
pizza,AlchTBoxForgetter,1,11,2,12,18,0,30,false
pizza,AlchTBoxForgetter,1,11,2,11,26,0,96,false
pizza,AlchTBoxForgetter,1,11,2,15,20,0,25,false
pizza,AlchTBoxForgetter,1,11,2,11,16,0,25,false
pizza,AlchTBoxForgetter,1,11,2,11,11,0,0,false
pizza,AlchTBoxForgetter,1,11,2,10,10,0,0,false
pizza,AlchTBoxForgetter,1,11,2,12,27,0,102,false
pizza,AlchTBoxForgetter,1,11,2,15,31,0,102,false
pizza,AlchTBoxForgetter,1,11,2,12,27,0,96,false
pizza,AlchTBoxForgetter,1,11,2,16,32,0,102,false
pizza,AlchTBoxForgetter,1,11,2,16,32,0,102,false
pizza,AlchTBoxForgetter,1,11,2,14,19,0,25,false
pizza,AlchTBoxForgetter,1,11,2,15,20,0,25,false
pizza,AlchTBoxForgetter,1,11,2,13,28,0,102,false
pizza,AlchTBoxForgetter,1,11,2,15,20,0,25,false
pizza,AlchTBoxForgetter,1,11,2,15,31,0,102,false
pizza,AlchTBoxForgetter,1,11,2,13,18,0,25,false
pizza,AlchTBoxForgetter,1,11,2,9,14,0,19,false
pizza,AlchTBoxForgetter,1,11,2,14,19,0,25,false
pizza,AlchTBoxForgetter,1,11,2,11,16,0,25,false
pizza,AlchTBoxForgetter,1,11,2,16,23,0,30,false
pizza,AlchTBoxForgetter,1,11,2,14,30,0,102,false
pizza,AlchTBoxForgetter,1,11,2,16,21,0,25,false
pizza,AlchTBoxForgetter,1,11,2,11,11,0,0,false
