ONTOLOGY_NAME,FORGETTING_STRATEGY,FORMULA_ID,FORMULA_SIZE,JUSTIFICATION_SIZE,STRATEGY_STEP_COUNT,STRATEGY_STEPS_DELTA,JUSTIFICATION_INCREASE_AMOUNT,SUCCESSFUL_EXPLANATION
pizza_super_simple,AlchTBoxForgetter,2,0,2,3,3,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,0,2,3,3,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,0,2,3,3,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,1,2,1,0,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,2,2,2,2,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,2,2,2,2,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,2,2,2,2,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,3,2,3,3,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,3,2,3,3,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,3,2,3,3,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,3,2,3,3,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,3,2,3,3,0,0,true
pizza_super_simple,AlchTBoxForgetter,2,3,2,3,3,0,0,true
